Timestamp (us),Roll (deg),Pitch (deg),Yaw (deg)
318292009,-20.509800,88.522903,-54.050301
318312016,-20.464600,88.521301,-54.004299
318333961,-20.406799,88.514999,-53.946098
318352012,-20.403200,88.514297,-53.942402
318409519,-20.557400,88.526497,-54.095699
318429014,-20.572800,88.530701,-54.112202
318478406,-20.584400,88.530998,-54.122601
318547931,-20.483500,88.507301,-54.013500
318567019,-20.605801,88.500900,-54.134800
318587032,-20.663500,88.492699,-54.191101
318607024,-20.645300,88.487297,-54.173000
318627020,-20.688400,88.476997,-54.215302
318647032,-20.749399,88.470200,-54.276299
318667029,-20.756001,88.472397,-54.284401
318687028,-20.777800,88.478104,-54.307201
318770727,-20.899700,88.444801,-54.400902
318790016,-20.927799,88.436996,-54.427799
318810013,-20.946501,88.440498,-54.445599
318830015,-20.958401,88.452904,-54.458900
318850018,-20.957800,88.460701,-54.459099
318870027,-20.932899,88.459099,-54.432899
318890034,-20.935400,88.453102,-54.434502
318910022,-20.983700,88.448601,-54.483799
318930009,-20.941401,88.450104,-54.443699
318950028,-20.904301,88.455200,-54.409199
318970033,-20.899000,88.448997,-54.403500
318990018,-20.958200,88.440697,-54.462898
319010011,-20.877300,88.436501,-54.381901
319030028,-20.837601,88.432999,-54.343102
319050014,-20.888399,88.432503,-54.394100
319115970,-20.891199,88.419800,-54.400299
319135010,-20.928499,88.418800,-54.437901
319185102,-20.812700,88.439499,-54.322701
319205022,-20.782101,88.440804,-54.294399
319225034,-20.803400,88.426003,-54.316200
319245026,-20.832800,88.407898,-54.343498
319265018,-20.894899,88.401604,-54.406502
319285054,-20.939899,88.408699,-54.452801
319305026,-20.919100,88.416100,-54.434601
319325129,-20.840401,88.413200,-54.357498
319345018,-20.874100,88.408997,-54.389500
319365483,-20.914301,88.398598,-54.427502
319385024,-21.023600,88.400101,-54.536999
319405012,-21.033400,88.411697,-54.549400
319463387,-20.996000,88.398804,-54.507198
319482013,-21.030600,88.396004,-54.541000
319502029,-20.985399,88.390701,-54.496899
319534095,-21.032801,88.408203,-54.546501
319607609,-21.116699,88.361504,-54.628399
319627035,-21.114799,88.370003,-54.626701
319647035,-21.107100,88.376297,-54.618698
319667034,-21.084700,88.373199,-54.594799
319687061,-21.099001,88.363701,-54.608398
319707199,-21.154499,88.356796,-54.662701
319727036,-21.208099,88.356003,-54.714298
319747007,-21.213100,88.353500,-54.718601
319816166,-21.215401,88.340698,-54.718498
319835017,-21.257799,88.349800,-54.761002
319855026,-21.297800,88.358597,-54.801800
319875017,-21.274799,88.352402,-54.778301
319895020,-21.304399,88.350304,-54.807499
319915178,-21.355700,88.346703,-54.859001
319935028,-21.444099,88.328796,-54.945301
319955575,-21.500900,88.314301,-55.001701
320023481,-21.381100,88.298698,-54.878201
320043034,-21.426701,88.295303,-54.923599
320065790,-21.481800,88.302696,-54.979500
320085020,-21.461100,88.308098,-54.961102
320105011,-21.464001,88.303398,-54.963799
320125013,-21.416901,88.303703,-54.918098
320145029,-21.412901,88.305702,-54.914501
320165033,-21.408899,88.314400,-54.912102
320185030,-21.434299,88.311203,-54.937599
320205014,-21.468000,88.303596,-54.970798
320225330,-21.437700,88.300797,-54.941399
320245033,-21.406200,88.311203,-54.911400
320265010,-21.452801,88.321198,-54.958801
320285017,-21.408300,88.320297,-54.914101
320305016,-21.405399,88.314003,-54.911800
320325091,-21.437401,88.303398,-54.943298
320345033,-21.473801,88.306099,-54.980801
320365015,-21.467899,88.312202,-54.976101
320385012,-21.407400,88.318199,-54.918800
320456680,-21.444599,88.306503,-54.958099
320475095,-21.471001,88.298203,-54.983700
320495021,-21.428400,88.303299,-54.943699
320529402,-21.490499,88.310097,-55.007000
320549013,-21.457199,88.308800,-54.974899
320569025,-21.409201,88.303101,-54.928799
320589019,-21.369200,88.306000,-54.889599
320609017,-21.420601,88.307297,-54.939800
320629030,-21.482401,88.307999,-55.000900
320665497,-21.414301,88.291801,-54.933102
320735124,-21.397699,88.358101,-54.922001
320755035,-21.342300,88.373596,-54.868401
320775023,-21.286699,88.372498,-54.814602
320795165,-21.247601,88.366096,-54.774799
320815028,-21.257299,88.378403,-54.783699
320835015,-21.261900,88.388702,-54.787601
320855012,-21.299900,88.385201,-54.823700
320875475,-21.312201,88.377998,-54.836399
320895014,-21.327000,88.368500,-54.851002
320962046,-21.161800,88.383102,-54.691399
320982020,-21.275000,88.365196,-54.801399
321002034,-21.313999,88.353500,-54.840500
321022010,-21.362700,88.354599,-54.888199
321042028,-21.223200,88.369202,-54.752899
321062035,-21.073500,88.370399,-54.603401
321082011,-21.126200,88.366402,-54.654202
321102031,-21.361099,88.351501,-54.885300
321169186,-21.318501,88.364799,-54.843899
321188010,-21.322500,88.364098,-54.848400
321208007,-21.346500,88.362900,-54.872501
321228026,-21.461000,88.362396,-54.985802
321248012,-21.467501,88.360703,-54.990101
321268022,-21.437201,88.354401,-54.958599
321288014,-21.403999,88.359001,-54.923901
321308035,-21.441099,88.363602,-54.958199
321328012,-21.423401,88.362801,-54.935600
321398850,-21.417101,88.368599,-54.926601
321416021,-21.401699,88.376801,-54.912899
321436013,-21.341299,88.388298,-54.852200
321456008,-21.323900,88.394997,-54.830399
321476019,-21.418800,88.393402,-54.922001
321496191,-21.510799,88.391602,-55.011902
321516010,-21.525700,88.386002,-55.026699
321536021,-21.528000,88.385399,-55.029499
321556007,-21.504101,88.383598,-55.006699
321576036,-21.474800,88.389198,-54.977299
321596193,-21.530100,88.384598,-55.030399
321616010,-21.553699,88.376297,-55.053398
321636019,-21.582600,88.364799,-55.083500
321656027,-21.583900,88.362900,-55.086102
321687880,-21.584000,88.373299,-55.088200
321757382,-21.468300,88.366699,-54.971199
321777025,-21.533300,88.367699,-55.035198
321797019,-21.566900,88.376198,-55.068802
321817010,-21.521799,88.382301,-55.024601
321837013,-21.499701,88.380203,-55.003502
321857190,-21.599701,88.360001,-55.102699
321877034,-21.669399,88.345497,-55.171799
321897010,-21.701401,88.345703,-55.203999
321917017,-21.651800,88.365799,-55.157200
321982772,-22.044600,88.305496,-55.542400
322002340,-22.169300,88.299004,-55.666401
322022012,-22.181000,88.307800,-55.678902
322042237,-22.089199,88.318802,-55.588902
322066777,-22.054800,88.318398,-55.556000
322086032,-22.111000,88.316101,-55.612900
322106014,-22.225901,88.314697,-55.726898
322126008,-22.252600,88.315399,-55.753700
322146020,-22.221500,88.313698,-55.723801
322213564,-22.101601,88.311996,-55.604698
322233025,-22.164200,88.307899,-55.665501
322253030,-22.214800,88.308998,-55.716202
322273023,-22.204300,88.311996,-55.706299
322293032,-22.147900,88.318604,-55.650902
322313175,-22.095800,88.325699,-55.599701
322333009,-22.069300,88.323700,-55.574100
322353025,-22.153299,88.311600,-55.655899
322423938,-22.168200,88.307899,-55.668800
322441016,-22.128099,88.312897,-55.630901
322461014,-22.185499,88.318604,-55.689098
322481021,-22.153500,88.315300,-55.656399
322501008,-22.238001,88.307602,-55.740002
322521184,-22.275101,88.308098,-55.777000
322541015,-22.251801,88.311897,-55.755798
322561026,-22.211201,88.310303,-55.716801
322581026,-22.277500,88.310204,-55.781601
322648802,-22.039101,88.328102,-55.552898
322668011,-22.031200,88.334297,-55.547100
322688014,-22.049900,88.333900,-55.565498
322708010,-22.095501,88.323700,-55.608700
322728021,-22.162500,88.313599,-55.674801
322748196,-22.115299,88.319801,-55.629501
322768034,-22.172501,88.318398,-55.687302
322788008,-22.254299,88.309402,-55.768299
322808019,-22.326599,88.302803,-55.839802
322874203,-22.246500,88.317703,-55.763401
322894012,-22.218100,88.315201,-55.735001
322914013,-22.319201,88.303802,-55.834599
322934030,-22.366100,88.292603,-55.879799
322954013,-22.340401,88.292397,-55.855499
322974185,-22.265900,88.300499,-55.782902
322994031,-22.265200,88.308601,-55.783798
323014030,-22.264200,88.301804,-55.780998
323082669,-22.332199,88.294197,-55.851200
323102030,-22.310801,88.290001,-55.830700
323122017,-22.327499,88.288803,-55.846199
323142017,-22.324400,88.295502,-55.843899
323162015,-22.289101,88.293602,-55.810501
323182183,-22.317499,88.292000,-55.840401
323202026,-22.328600,88.286697,-55.851700
323222020,-22.330400,88.287498,-55.853199
323242643,-22.263500,88.298401,-55.788101
323262010,-22.287901,88.298500,-55.813599
323282188,-22.297400,88.295502,-55.823700
323302019,-22.275200,88.295502,-55.803299
323322034,-22.308500,88.298203,-55.838001
323342025,-22.313400,88.293404,-55.842999
323362209,-22.310200,88.294701,-55.841000
