Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
318292009,0.002200,0.406000,0.148100,-1.012700,-0.012400,0.032400
318312016,-0.006500,-0.034100,0.050900,-1.015700,-0.012000,0.034400
318333961,0.011000,-0.191300,0.059300,-1.012700,-0.013700,0.033900
318352012,0.010900,0.011100,0.050200,-1.019100,-0.013700,0.033700
318409519,-0.006600,0.221000,0.076200,-1.013500,-0.015600,0.034100
318429014,0.054700,0.132100,0.136900,-1.015900,-0.015600,0.031200
318478406,0.010600,0.122600,0.066100,-1.013000,-0.014400,0.036300
318547931,-0.129500,-0.219500,0.004400,-1.013200,-0.013400,0.033700
318567019,-0.032400,-0.183100,-0.153100,-1.010300,-0.016800,0.032000
318587032,-0.023500,-0.286900,-0.125900,-1.015900,-0.014900,0.032200
318607024,-0.014600,-0.206400,-0.081400,-1.014700,-0.010700,0.032700
318627020,-0.014500,-0.240100,-0.063400,-1.014700,-0.017100,0.036100
318647032,-0.005600,-0.177300,-0.071700,-1.013200,-0.016600,0.034600
318667029,0.020600,0.138800,0.103700,-1.014200,-0.015100,0.034600
318687028,-0.005700,0.190400,0.085600,-1.015200,-0.013900,0.032400
318770727,-0.329400,-0.318300,-0.089900,-1.014400,-0.014100,0.031200
318790016,-0.056100,-0.307500,-0.089400,-1.012000,-0.015100,0.032900
318810013,-0.055800,0.236900,0.086200,-1.014200,-0.014600,0.036300
318830015,-0.002900,0.471700,0.208100,-1.011300,-0.014600,0.034400
318850018,0.005800,0.285000,0.198100,-1.015900,-0.015400,0.032700
318870027,-0.116700,-0.180600,0.091800,-1.012000,-0.015100,0.030000
318890034,-0.072200,-0.223200,0.003800,-1.016600,-0.015400,0.032400
318910022,-0.001800,-0.020500,-0.075000,-1.013200,-0.014900,0.037600
318930009,0.042000,0.145800,0.118000,-1.012700,-0.013400,0.037100
318950028,0.041700,0.153700,0.117200,-1.013500,-0.012200,0.033400
318970033,-0.019800,-0.188500,-0.032300,-1.016900,-0.013900,0.034400
318990018,0.006600,-0.213600,-0.110800,-1.013000,-0.016100,0.035400
319010011,-0.002200,-0.151000,0.091100,-1.014900,-0.012900,0.034600
319030028,0.024100,-0.036300,0.029300,-1.014400,-0.013200,0.038100
319050014,-0.011100,0.025200,-0.110900,-1.016400,-0.011700,0.033900
319115970,-0.002300,-0.167500,0.047300,-1.014900,-0.016100,0.032400
319135010,-0.037200,-0.000200,-0.031700,-1.012500,-0.014600,0.035400
319185102,-0.054500,0.341100,0.169700,-1.015400,-0.011700,0.035900
319205022,0.077100,-0.002300,0.089900,-1.011800,-0.013200,0.032000
319225034,0.006600,-0.562300,-0.173200,-1.016600,-0.014900,0.032400
319245026,-0.072200,-0.515000,-0.277100,-1.015900,-0.013200,0.038100
319265018,-0.010500,-0.153100,-0.109100,-1.013200,-0.015600,0.035600
319285054,-0.010400,0.355400,0.145400,-1.013000,-0.016800,0.036100
319305026,0.068400,0.256900,0.240700,-1.013500,-0.016300,0.033700
319325129,0.041700,-0.112200,0.099200,-1.014000,-0.012900,0.034900
319345018,-0.072300,-0.137700,-0.041400,-1.015200,-0.015400,0.034400
319365483,-0.089300,-0.250600,-0.224900,-1.014900,-0.011700,0.036800
319385024,-0.001300,0.197200,-0.066000,-1.013000,-0.016100,0.036300
319405012,0.033700,0.423500,0.258100,-1.015400,-0.016800,0.033900
319463387,-0.089000,-0.139200,0.002800,-1.014200,-0.014100,0.034900
319482013,-0.035900,-0.042100,-0.006000,-1.013200,-0.016100,0.035400
319502029,0.034300,-0.199300,0.011500,-1.011500,-0.013200,0.034600
319534095,0.016600,0.423200,0.177700,-1.013200,-0.015400,0.034100
319607609,0.007700,-0.340700,-0.164600,-1.014700,-0.014600,0.037800
319627035,-0.018600,0.326400,0.107600,-1.011800,-0.012200,0.034400
319647035,-0.027200,0.245600,0.133200,-1.012700,-0.013900,0.034600
319667034,-0.079500,-0.158400,0.018600,-1.013200,-0.013900,0.033700
319687061,-0.009000,-0.323700,-0.130200,-1.012500,-0.013700,0.034100
319707199,-0.052700,-0.155400,-0.094400,-1.014200,-0.016600,0.037300
319727036,-0.061100,0.046800,0.019900,-1.011000,-0.017100,0.035400
319747007,-0.025800,-0.041000,0.028500,-1.014000,-0.015600,0.036100
319816166,-0.016800,-0.049500,-0.024100,-1.013500,-0.014100,0.037600
319835017,0.018300,0.397100,0.142300,-1.011800,-0.015900,0.034600
319855026,0.009400,0.307100,0.115100,-1.014200,-0.015100,0.032900
319875017,0.000600,-0.211100,-0.043100,-1.014400,-0.013400,0.035600
319895020,-0.016900,-0.034700,-0.051600,-1.014000,-0.014100,0.035400
319915178,0.018200,-0.104500,-0.138800,-1.012700,-0.013200,0.034400
319935028,-0.025700,-0.602600,-0.295400,-1.013000,-0.017100,0.034100
319955575,0.018200,-0.432600,-0.241000,-1.014900,-0.016100,0.038300
320023481,-0.051900,-0.202400,-0.038300,-1.014000,-0.012200,0.034400
320043034,-0.016600,-0.061100,-0.073000,-1.015700,-0.015400,0.036100
320065790,0.001000,0.289300,0.032400,-1.010800,-0.014400,0.036100
320085020,0.071000,0.226200,0.137200,-1.016600,-0.014100,0.035900
320105011,-0.016900,-0.151400,0.013900,-1.013200,-0.016600,0.035900
320125013,0.062000,0.007000,0.127500,-1.012500,-0.015100,0.036100
320145029,0.000300,0.033200,0.074200,-1.015200,-0.014600,0.033200
320165033,0.061600,0.348000,0.126300,-1.013500,-0.013400,0.036300
320185030,0.017400,-0.135400,-0.075800,-1.013500,-0.013900,0.033700
320205014,0.008600,-0.292100,-0.101600,-1.013700,-0.015900,0.033900
320225330,0.069800,-0.176500,-0.030900,-1.012000,-0.012000,0.032700
320245033,0.016800,0.358400,0.205500,-1.014000,-0.013400,0.034600
320265010,0.016700,0.364900,0.134200,-1.014400,-0.015900,0.033700
320285017,0.007900,-0.048700,0.098400,-1.014000,-0.014900,0.035900
320305016,0.060300,-0.179600,-0.059700,-1.011500,-0.014100,0.036100
320325091,0.007400,-0.353500,-0.173100,-1.013200,-0.014900,0.036100
