Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
318292009,4.033900,204.443100,310.333191
318312016,4.019300,204.033905,310.727814
318333961,4.238500,204.457794,311.078613
318352012,3.829300,204.194702,310.552490
318409519,3.990100,204.589294,311.327087
318429014,4.019300,204.428497,310.888611
318478406,3.580800,204.399307,311.487915
318547931,3.829300,204.998505,310.727814
318567019,3.785400,204.545502,310.567108
318587032,3.317700,204.428497,310.976288
318607024,3.829300,205.057007,310.961700
318627020,4.194700,204.793900,310.654785
318647032,4.121600,204.677002,310.450195
318667029,3.653900,204.852402,310.245514
318687028,4.048500,204.837799,310.523285
318770727,3.537000,204.677002,310.508606
318790016,3.814700,204.296997,310.333191
318810013,3.843900,204.603897,311.239410
318830015,4.340800,204.603897,310.625488
318850018,3.931600,204.618500,310.947113
318870027,3.624700,205.130096,311.034790
318890034,4.209300,204.823196,310.303986
318910022,4.048500,205.246994,310.640198
318930009,4.063100,204.823196,310.303986
318950028,3.931600,204.940094,310.406311
318970033,3.800100,204.852402,311.005615
318990018,4.004700,204.983902,310.903198
319010011,4.150800,204.764694,311.385590
319030028,3.566200,204.852402,311.151703
319050014,4.004700,204.750107,310.932495
319115970,3.756200,205.013199,310.172485
319135010,4.048500,204.720795,310.303986
319185102,3.566200,204.618500,310.435486
319205022,3.946200,204.764694,310.581696
319225034,3.595400,205.363907,310.742493
319245026,3.610100,204.560104,310.245514
319265018,3.566200,204.896194,309.982513
319285054,3.902400,204.779297,309.894806
319305026,3.931600,204.735397,310.523285
319325129,4.048500,204.867004,310.523285
319345018,3.902400,204.574707,311.137085
319365483,3.814700,204.516205,310.377106
319385024,3.639300,204.355499,310.362488
319405012,3.610100,204.881607,310.157806
319463387,3.551600,204.487000,310.450195
319482013,3.931600,204.691605,311.063995
319502029,4.209300,204.574707,310.172485
319534095,3.405400,204.340805,310.406311
319607609,3.814700,204.735397,311.137085
319627035,4.107000,204.793900,311.400208
319647035,3.785400,204.560104,311.283295
319667034,4.063100,204.443100,310.610901
319687061,4.048500,204.662399,310.932495
319707199,3.785400,204.326202,310.435486
319727036,3.347000,204.428497,311.487915
319747007,3.507700,204.326202,310.800903
319816166,4.399300,204.413895,310.990906
319835017,3.463900,203.960800,311.312500
319855026,4.194700,204.457794,310.815613
319875017,3.975400,203.960800,310.347809
319895020,3.405400,204.311600,310.625488
319915178,3.887800,204.267807,310.610901
319935028,3.449300,204.136200,310.581696
319955575,3.756200,204.253098,310.698608
320023481,3.800100,204.355499,310.567108
320043034,4.004700,204.253098,310.143188
320065790,4.267800,204.282394,310.567108
320085020,3.566200,204.472397,310.230896
320105011,3.405400,204.662399,310.742493
320125013,3.580800,204.296997,310.727814
320145029,3.873100,204.764694,311.063995
320165033,3.537000,204.238495,311.049408
320185030,3.800100,204.370102,310.830200
320205014,3.873100,204.720795,311.531708
320225330,3.960800,204.823196,311.677887
320245033,4.063100,204.647797,310.873993
320265010,4.384700,204.340805,310.830200
320285017,3.595400,204.004700,310.815613
320305016,3.917000,204.282394,310.815613
320325091,3.814700,204.574707,311.034790
320345033,3.902400,204.896194,310.201691
320365015,4.004700,205.144699,311.253998
320385012,3.931600,205.013199,310.888611
320456680,3.376200,204.311600,310.260193
320475095,3.800100,204.603897,310.669403
320495021,4.326200,205.042404,310.187103
320529402,3.624700,204.530807,309.602386
320549013,4.019300,204.647797,310.303986
320569025,3.259300,204.808502,310.055511
320589019,3.917000,204.136200,310.596313
320609017,4.180100,204.589294,311.063995
320629030,3.946200,204.355499,310.713287
320665497,3.639300,204.560104,310.976288
320735124,3.493100,204.457794,310.084808
320755035,3.610100,204.589294,310.289398
320775023,4.033900,204.735397,310.552490
320795165,3.697700,204.589294,311.312500
320815028,4.282400,204.384705,311.736389
320835015,4.209300,204.501602,310.508606
320855012,4.077800,204.340805,311.093292
320875475,3.902400,204.662399,310.333191
320895014,4.048500,204.340805,310.596313
320962046,3.595400,205.115494,310.932495
320982020,3.873100,204.282394,310.757111
321002034,4.223900,204.165497,310.800903
321022010,3.887800,204.487000,310.917786
321042028,3.960800,204.735397,310.523285
321062035,3.580800,204.223907,310.800903
321082011,3.683100,204.618500,310.757111
321102031,3.931600,204.428497,310.742493
321169186,3.405400,204.530807,311.166290
321188010,3.449300,204.589294,310.713287
321208007,3.463900,204.691605,310.537903
321228026,4.004700,204.413895,310.333191
321248012,3.902400,204.545502,310.742493
321268022,3.858500,204.238495,310.245514
321288014,3.668500,204.106995,310.771698
321308035,3.946200,204.296997,310.347809
321328012,3.975400,204.253098,310.917786
321398850,4.048500,204.355499,310.976288
321416021,4.033900,204.516205,310.216309
321436013,4.180100,204.428497,311.283295
321456008,3.902400,204.311600,311.093292
321476019,3.960800,204.384705,310.786285
321496191,3.873100,204.428497,311.122498
321516010,4.004700,204.428497,311.444000
321536021,3.814700,204.004700,310.552490
321556007,6.884000,204.399307,309.777802
321576036,3.683100,204.194702,310.771698
321596193,3.288500,204.106995,311.385590
321616010,3.727000,204.501602,310.377106
321636019,4.077800,204.399307,310.362488
321656027,4.004700,204.867004,310.742493
321687880,3.873100,204.764694,310.742493
321757382,3.580800,204.764694,310.786285
321777025,3.244700,204.545502,311.224792
321797019,3.288500,204.209305,311.385590
321817010,3.273900,204.209305,311.780212
321837013,3.332400,204.238495,311.034790
321857190,3.200800,204.501602,311.137085
321877034,3.215400,204.793900,310.917786
321897010,3.610100,204.998505,310.742493
321917017,3.478500,204.896194,310.786285
321982772,3.142400,204.633102,310.742493
322002340,2.864700,204.589294,310.596313
322022012,2.967000,204.545502,311.473206
322042237,3.244700,204.823196,311.151703
322066777,3.200800,204.560104,310.333191
322086032,3.288500,204.954697,310.201691
322106014,2.937700,204.881607,311.151703
322126008,3.069300,204.808502,311.517090
322146020,3.347000,204.954697,311.546295
322213564,3.595400,204.750107,311.327087
