Timestamp (us),Roll (deg),Pitch (deg),Yaw (deg)
192256014,-89.867104,1.520200,-96.144798
192276004,-89.868896,1.519400,-96.144501
192297260,-89.869598,1.518400,-96.145699
192317012,-89.871002,1.520100,-96.145599
192337004,-89.874001,1.517200,-96.144203
192357010,-89.875298,1.513900,-96.143700
192377007,-89.871201,1.515500,-96.143402
192397182,-89.869499,1.515500,-96.145500
192417011,-89.871399,1.516900,-96.145897
192437008,-89.871803,1.516800,-96.146004
192457009,-89.874397,1.515900,-96.147102
192477009,-89.871696,1.515900,-96.147903
192497179,-89.871696,1.516900,-96.147499
192517007,-89.875397,1.517900,-96.148003
192537007,-89.875900,1.517400,-96.147400
192557008,-89.875000,1.517000,-96.147003
192577005,-89.870102,1.518400,-96.147499
192597187,-89.871803,1.518900,-96.148201
192617007,-89.870598,1.520200,-96.148102
192637004,-89.869102,1.520400,-96.148804
192657007,-89.866600,1.523200,-96.149803
192677005,-89.863998,1.522000,-96.148697
192697175,-89.861298,1.521400,-96.148300
192717010,-89.860397,1.520500,-96.149002
192737005,-89.859901,1.519100,-96.148499
192757009,-89.855904,1.521900,-96.148201
192777005,-89.848000,1.526800,-96.149101
192798539,-89.851997,1.525400,-96.148804
192817008,-89.856796,1.524700,-96.149300
192837012,-89.852600,1.525900,-96.148804
192857012,-89.844803,1.530000,-96.150200
192877010,-89.841003,1.531700,-96.151199
192897182,-89.845398,1.531600,-96.151901
192917007,-89.850502,1.530100,-96.151901
192937007,-89.847099,1.531100,-96.153503
192957010,-89.840103,1.532700,-96.153801
192977011,-89.838203,1.532800,-96.154404
192997179,-89.842903,1.531900,-96.155800
193017004,-89.845497,1.530900,-96.157303
193037008,-89.850800,1.527900,-96.158600
193057007,-89.852997,1.523800,-96.157501
193077009,-89.853401,1.524700,-96.157097
193097178,-89.854401,1.523200,-96.157700
193117008,-89.856400,1.522000,-96.158096
193137004,-89.852997,1.524600,-96.158699
193157012,-89.850998,1.526300,-96.158401
193177007,-89.851997,1.524200,-96.157600
193197175,-89.856201,1.521900,-96.156898
193217008,-89.859100,1.522600,-96.156197
193237005,-89.852699,1.526900,-96.156998
193257012,-89.846397,1.530500,-96.156403
193277008,-89.847702,1.532000,-96.156502
193297178,-89.850502,1.530300,-96.155701
193318111,-89.851898,1.528200,-96.155098
193337004,-89.853500,1.528300,-96.155701
193357012,-89.856598,1.529800,-96.155602
193377012,-89.858101,1.529500,-96.155800
193397176,-89.858902,1.528900,-96.155602
193417008,-89.857002,1.529000,-96.155998
193437012,-89.853104,1.529700,-96.157799
193457007,-89.851898,1.530700,-96.158600
193477003,-89.851601,1.530700,-96.160202
193497179,-89.851997,1.530200,-96.161797
193517004,-89.853203,1.531800,-96.163498
193537012,-89.850304,1.533000,-96.164803
193557008,-89.853203,1.533000,-96.164497
193577009,-89.857498,1.532700,-96.166199
193597176,-89.857597,1.533000,-96.166901
193617012,-89.854599,1.535500,-96.166000
193637004,-89.854500,1.535400,-96.167000
193657012,-89.853996,1.534900,-96.168098
193677012,-89.855400,1.533900,-96.166702
193697176,-89.854103,1.533600,-96.165901
193717012,-89.854401,1.534800,-96.160301
193737004,-89.852699,1.535900,-96.153297
193757007,-89.852600,1.537300,-96.153900
193777005,-89.854500,1.536500,-96.153198
193798532,-89.853500,1.535100,-96.153297
193817467,-89.854301,1.529000,-96.153000
193837008,-89.856697,1.527200,-96.152000
193857009,-89.861198,1.527600,-96.150002
193877007,-89.860901,1.528000,-96.147598
193897183,-89.861900,1.528900,-96.145302
193917007,-89.860100,1.526700,-96.142403
193937007,-89.856697,1.528000,-96.137901
193957010,-89.853401,1.531100,-96.133598
193977012,-89.855400,1.530100,-96.126503
193997177,-89.851501,1.532500,-96.123901
194017008,-89.847198,1.534500,-96.125900
194037007,-89.842796,1.534600,-96.128700
194057009,-89.844498,1.537600,-96.128998
194077009,-89.844200,1.536500,-96.129097
194097178,-89.842003,1.538800,-96.127403
194117007,-89.832298,1.540400,-96.125000
194137012,-89.820000,1.541300,-96.102798
194157004,-89.811600,1.543200,-96.085503
194177007,-89.810600,1.541800,-96.077904
194197176,-89.815903,1.538400,-96.078003
194217007,-89.822998,1.537100,-96.081802
194237008,-89.826500,1.540200,-96.084198
194257008,-89.827797,1.540300,-96.086899
194277012,-89.827599,1.542200,-96.088600
194298259,-89.831703,1.544000,-96.090599
194318005,-89.839699,1.541800,-96.092102
194338012,-89.847198,1.537600,-96.094101
194358004,-89.840202,1.538300,-96.098701
194378004,-89.830002,1.541800,-96.102303
194398181,-89.825401,1.546200,-96.103798
194418012,-89.832397,1.544100,-96.106697
194438012,-89.832703,1.541500,-96.107697
194458008,-89.827003,1.543900,-96.109901
194478004,-89.820602,1.549100,-96.112198
194498177,-89.813797,1.554800,-96.115501
194518007,-89.812500,1.554700,-96.116997
194538008,-89.814796,1.551200,-96.117302
194558007,-89.814301,1.549500,-96.117897
194578011,-89.814102,1.550200,-96.119102
194598182,-89.820099,1.544800,-96.118599
194618008,-89.823097,1.542900,-96.121803
194638012,-89.823402,1.542800,-96.125000
194658006,-89.829300,1.543100,-96.126297
194678007,-89.835297,1.538600,-96.127502
194698178,-89.833504,1.537600,-96.129501
194718007,-89.824997,1.539600,-96.132599
194738009,-89.820801,1.541500,-96.133301
194758010,-89.824203,1.541000,-96.135498
194778010,-89.826103,1.540100,-96.138298
194799544,-89.821701,1.541500,-96.140503
194818009,-89.816299,1.544200,-96.141098
194838007,-89.814201,1.545000,-96.141701
194858004,-89.815697,1.544300,-96.143700
194878004,-89.822098,1.542900,-96.145401
194898176,-89.820999,1.545600,-96.147003
194918012,-89.816597,1.548000,-96.148399
194938012,-89.811699,1.548200,-96.149597
194958005,-89.813103,1.548200,-96.151398
194978008,-89.814201,1.547700,-96.151703
194998182,-89.810699,1.552300,-96.154198
195018014,-89.805901,1.552500,-96.156303
195038004,-89.810898,1.546700,-96.159401
195058007,-89.821198,1.542500,-96.162201
195078009,-89.822899,1.543400,-96.163101
195098182,-89.820801,1.545000,-96.163101
195118012,-89.820801,1.546300,-96.164703
195138008,-89.823097,1.544100,-96.164101
195158012,-89.824898,1.545400,-96.164902
195178007,-89.819801,1.549000,-96.166298
195198179,-89.813004,1.553100,-96.167503
195218012,-89.809402,1.557400,-96.168800
195238004,-89.810699,1.557600,-96.169899
195258007,-89.810699,1.557900,-96.171097
195278008,-89.807098,1.559500,-96.172302
195298174,-89.805801,1.561400,-96.174202
195318008,-89.806602,1.559700,-96.175903
195338012,-89.811203,1.559000,-96.178200
195358012,-89.818001,1.557500,-96.180199
195378012,-89.820900,1.558600,-96.182198
195398173,-89.815300,1.562100,-96.183800
195418004,-89.812798,1.568300,-96.185501
195438009,-89.810699,1.567900,-96.188301
195458011,-89.809799,1.567700,-96.190201
195478007,-89.812103,1.567100,-96.191200
195498188,-89.816498,1.566500,-96.195000
195518004,-89.816498,1.565900,-96.196899
195538008,-89.811897,1.567100,-96.196701
195558007,-89.807899,1.572400,-96.197800
195578009,-89.809097,1.573200,-96.200203
195598178,-89.813202,1.573200,-96.201401
195618010,-89.816597,1.571200,-96.201103
195638012,-89.813301,1.571600,-96.201103
195658007,-89.808098,1.573400,-96.202400
195678008,-89.807198,1.574300,-96.204903
195698182,-89.811302,1.574900,-96.207199
195718004,-89.815102,1.574700,-96.209999
195738012,-89.815804,1.572600,-96.211502
195758009,-89.818398,1.570400,-96.212196
195778003,-89.819000,1.570800,-96.213303
195799538,-89.820503,1.571900,-96.215797
195818012,-89.818604,1.572000,-96.216103
195838008,-89.814003,1.573700,-96.216698
195858010,-89.810600,1.576900,-96.217201
195878007,-89.811302,1.575000,-96.218002
195898183,-89.814796,1.575900,-96.219398
195918012,-89.816704,1.577000,-96.219498
195938004,-89.815903,1.578700,-96.218803
195958008,-89.816399,1.578000,-96.219200
195978011,-89.814400,1.579000,-96.220299
195998178,-89.816902,1.580600,-96.221802
196018012,-89.823799,1.577600,-96.223503
196038004,-89.838600,1.569300,-96.224503
196058007,-89.839401,1.564900,-96.224503
196078013,-89.828400,1.570300,-96.225899
196098186,-89.816803,1.575600,-96.227501
196118012,-89.814598,1.578000,-96.229401
196138003,-89.814301,1.578300,-96.230003
196158004,-89.812798,1.577300,-96.231598
196178003,-89.814697,1.579600,-96.233200
196198178,-89.814903,1.581000,-96.234703
196218006,-89.811203,1.581800,-96.235001
196238003,-89.809502,1.582400,-96.235298
196258008,-89.805702,1.581700,-96.235603
196278004,-89.803299,1.581400,-96.238197
196299258,-89.806602,1.580900,-96.238800
196319013,-89.810501,1.577700,-96.239799
196339009,-89.809998,1.576500,-96.238899
196359012,-89.803902,1.578700,-96.238403
196379007,-89.798698,1.580100,-96.239197
196399179,-89.799896,1.580500,-96.240501
196419004,-89.805000,1.579500,-96.242599
196439007,-89.809799,1.576100,-96.244003
196459013,-89.812202,1.574900,-96.243202
196479008,-89.813202,1.574700,-96.245399
196499177,-89.811897,1.573700,-96.246597
196519007,-89.812599,1.571600,-96.245201
196539012,-89.809402,1.573100,-96.245499
196559010,-89.805099,1.573800,-96.244797
196579006,-89.807701,1.574100,-96.245102
196599179,-89.813004,1.574700,-96.246696
196619009,-89.812698,1.569300,-96.247299
196639007,-89.806396,1.571900,-96.246498
196659011,-89.799400,1.574700,-96.245399
196679012,-89.797401,1.576300,-96.245201
196699383,-89.799500,1.576500,-96.247902
196719004,-89.802803,1.575200,-96.248596
196739008,-89.802399,1.573000,-96.248299
196759012,-89.801003,1.573900,-96.247002
196779007,-89.796700,1.575000,-96.247704
196800536,-89.797501,1.574800,-96.247398
196819010,-89.797401,1.573400,-96.247002
196839009,-89.796997,1.576300,-96.246597
196859011,-89.796700,1.576300,-96.247200
196879012,-89.795502,1.575000,-96.247299
196899179,-89.796303,1.576200,-96.247200
196919007,-89.795998,1.576400,-96.247299
196939004,-89.794899,1.574500,-96.248299
196959011,-89.792000,1.574200,-96.248001
196979007,-89.792503,1.575400,-96.248001
