Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
192256014,-0.243600,0.004900,-0.111000,-0.027800,-1.026400,0.003700
192276004,-0.093300,0.004800,-0.101600,-0.029800,-1.026400,0.002900
192297260,-0.049000,-0.012700,-0.074700,-0.028500,-1.027600,0.003400
192317012,-0.136200,-0.038900,-0.021700,-0.031200,-1.025200,0.005100
192337004,-0.152800,-0.073600,-0.161600,-0.028300,-1.029300,0.002700
192357010,-0.055600,-0.046900,-0.108100,-0.025400,-1.026900,0.002400
192377007,0.163500,-0.046600,0.102600,-0.026800,-1.031300,0.004100
192397182,0.066200,0.058700,-0.038000,-0.028800,-1.029100,0.003400
192417011,-0.117900,-0.011700,0.014700,-0.029500,-1.027100,0.003700
192437008,-0.038400,-0.037900,-0.081600,-0.030200,-1.031300,0.003400
192457009,-0.090700,0.023600,-0.046100,-0.027600,-1.026600,0.001500
192477009,0.058600,0.014700,-0.002100,-0.027600,-1.029600,0.005400
192497179,0.023200,-0.011600,0.059200,-0.027100,-1.025200,0.002000
192517007,-0.178200,-0.011500,-0.019900,-0.030000,-1.029300,0.002400
192537007,-0.054500,-0.081500,-0.107300,-0.030500,-1.028600,0.003700
192557008,0.068300,-0.019700,0.007100,-0.026600,-1.027900,0.002000
192577005,0.155400,0.015400,0.024600,-0.029000,-1.028100,0.005900
192597187,-0.038100,-0.002200,0.041900,-0.027100,-1.031000,0.001200
192617007,0.023400,-0.019700,0.032900,-0.028800,-1.030800,0.004100
192637004,0.032000,0.015500,0.015200,-0.027300,-1.029800,0.004100
192657007,0.110500,0.041600,0.120100,-0.028300,-1.028800,0.003400
192677005,0.109900,-0.011100,-0.029400,-0.026600,-1.027400,0.003700
192697175,0.021700,-0.011100,0.023300,-0.025600,-1.027900,0.006800
192717010,0.030300,-0.002300,-0.029400,-0.027100,-1.030800,0.003700
192737005,0.056300,-0.011000,-0.046700,-0.026800,-1.029600,0.001700
192757009,0.248500,-0.019700,0.128600,-0.027800,-1.027100,0.001200
192777005,0.264400,0.041700,0.215300,-0.028800,-1.031000,0.007800
192798539,-0.236000,-0.002300,-0.013500,-0.025900,-1.027100,0.005100
192817008,-0.225800,-0.011000,-0.022200,-0.027100,-1.028600,0.001700
192837012,0.213200,-0.046000,0.030400,-0.028800,-1.031300,0.002900
192857012,0.316800,0.024300,0.152700,-0.029500,-1.029300,0.005900
192877010,0.139800,0.024200,0.099300,-0.027300,-1.028600,0.005100
192897182,-0.316000,-0.002200,-0.050100,-0.029300,-1.028100,0.006800
192917007,-0.244100,-0.028500,-0.076000,-0.027800,-1.029300,0.002700
192937007,0.177500,-0.002000,0.029400,-0.028500,-1.027900,0.002900
192957010,0.307600,-0.002000,0.020500,-0.029800,-1.026200,0.004600
192977011,0.060700,-0.019500,-0.023400,-0.028800,-1.028400,0.004600
192997179,-0.228500,0.006900,-0.075700,-0.029000,-1.030100,0.003200
193017004,-0.148300,-0.010700,-0.057700,-0.028100,-1.027600,0.003900
193037008,-0.199800,0.041900,-0.127400,-0.026800,-1.027100,0.001000
193057007,-0.093600,-0.063400,-0.205300,-0.027800,-1.028800,0.002400
193077009,0.003300,-0.054200,0.032200,-0.028100,-1.027900,0.002200
193097178,-0.110500,0.007400,-0.020500,-0.025600,-1.028100,0.005400
193117008,-0.057300,-0.001400,-0.002900,-0.025600,-1.028800,0.001500
193137004,0.153000,-0.018900,0.040900,-0.030700,-1.029100,0.003700
193157012,0.152100,0.016200,0.040600,-0.029300,-1.028100,0.001200
193177007,-0.085100,-0.010200,-0.134600,-0.028800,-1.027600,0.004400
193197175,-0.242100,-0.027600,-0.107500,-0.027300,-1.027600,0.004400
193217008,-0.153100,-0.071200,0.059400,-0.026800,-1.028800,0.003200
193237005,0.294100,-0.009500,0.216500,-0.027600,-1.028800,0.003900
193257012,0.266000,-0.061900,0.171400,-0.027800,-1.027400,0.004900
193277008,-0.059400,-0.035300,0.030400,-0.029500,-1.028400,0.002900
193297178,-0.146500,-0.070100,-0.083600,-0.027800,-1.031000,0.003400
193318111,-0.101800,-0.069600,-0.144300,-0.029300,-1.027600,0.004400
193337004,-0.092400,0.027100,-0.012200,-0.028300,-1.027900,0.003400
193357012,-0.118100,-0.016900,0.022900,-0.029500,-1.028100,0.001700
193377012,-0.082400,-0.008000,-0.047200,-0.029000,-1.027600,0.003400
193397176,-0.046900,-0.016700,-0.020700,-0.027300,-1.027600,0.003200
193417008,0.058400,-0.025300,0.023200,-0.027100,-1.028400,0.004400
193437012,0.110600,0.062300,0.075600,-0.026100,-1.026200,0.006100
193457007,0.004900,-0.016800,0.057600,-0.027600,-1.031500,0.005100
193477003,-0.021400,-0.034200,-0.074000,-0.030500,-1.028600,0.004400
193497179,-0.030000,0.027200,-0.038600,-0.028300,-1.029100,0.003400
193517004,-0.003600,0.000800,0.057900,-0.028500,-1.027100,0.001200
193537012,0.057700,-0.016700,-0.021200,-0.030500,-1.026900,0.006100
193557008,-0.126400,-0.034100,-0.003600,-0.028100,-1.027600,0.002400
193577009,-0.186900,0.018600,0.022700,-0.026300,-1.024700,0.002200
193597176,0.033000,-0.007700,0.013800,-0.027800,-1.029600,0.001700
193617012,0.129100,-0.042700,0.048700,-0.030500,-1.027600,0.003700
193637004,-0.003000,0.010100,-0.047800,-0.029500,-1.030300,0.003400
193657012,-0.038000,-0.016200,-0.038800,-0.028300,-1.028600,0.005400
193677012,-0.055200,-0.068600,-0.073500,-0.028800,-1.030100,0.002400
193697176,0.058900,-0.085700,-0.003100,-0.027300,-1.026200,0.003200
193717012,0.041000,-0.330200,0.093200,-0.026600,-1.027400,0.000700
193737004,0.084500,-0.406800,0.048900,-0.028100,-1.029800,0.002700
193757007,0.005200,-0.028000,0.004800,-0.030200,-1.027900,0.003200
193777005,-0.082300,-0.089100,-0.091500,-0.029800,-1.028800,0.002700
193798532,0.067000,-0.088500,-0.012100,-0.025900,-1.027100,0.002200
193817467,-0.012200,-0.044200,-0.055800,-0.018300,-1.028600,0.002000
193837008,-0.099600,-0.105200,-0.073000,-0.027100,-1.027900,0.002200
193857009,-0.221500,-0.113300,-0.002500,-0.028500,-1.029100,0.002700
193877007,0.016100,-0.138800,-0.011200,-0.028800,-1.027400,0.002900
193897183,-0.106500,-0.138000,0.032600,-0.028100,-1.026900,0.004900
193917007,0.051700,-0.224600,-0.090100,-0.027100,-1.029600,0.004100
193937007,0.165100,-0.196900,0.094200,-0.026600,-1.028600,0.002900
193957010,0.129100,-0.256900,0.128600,-0.028800,-1.029300,0.004100
193977012,-0.151700,-0.430300,-0.064700,-0.028300,-1.030300,0.004400
193997177,0.225500,-0.217600,0.110700,-0.028100,-1.027400,0.001700
194017008,0.171600,-0.006300,0.083800,-0.028500,-1.028600,0.004900
194037007,0.214200,0.037500,-0.004300,-0.028100,-1.027600,0.003400
194057009,-0.093400,0.019800,0.135800,-0.028300,-1.028800,0.003700
194077009,-0.014000,-0.015300,-0.031300,-0.027100,-1.031000,0.004100
194097178,0.117300,-0.085200,0.117600,-0.027800,-1.028600,0.002900
194117007,0.475300,-0.172200,0.186900,-0.024100,-1.028600,0.003700
194137012,0.559800,-1.177400,0.098200,-0.026100,-1.030300,0.004400
194157004,0.320100,-0.916200,0.053800,-0.029500,-1.028400,0.006300
194177007,-0.023200,-0.420500,-0.077800,-0.028300,-1.027900,0.006100
194197176,-0.338000,-0.015300,-0.191000,-0.028800,-1.027900,0.006600
194217007,-0.423400,0.107300,-0.049800,-0.027300,-1.027600,0.006100
194237008,-0.158300,0.062900,0.108000,-0.029500,-1.029300,0.003200
194257008,-0.096000,0.097500,0.037300,-0.026800,-1.026900,0.004900
194277012,0.000800,0.044300,0.028300,-0.030200,-1.026200,0.003900
194298259,-0.217900,0.044100,-0.024400,-0.031700,-1.026400,0.004400
194318005,-0.496500,0.026300,-0.164200,-0.029800,-1.024900,0.006800
194338012,-0.362200,-0.000100,-0.215700,-0.028300,-1.029100,0.002900
194358004,0.392600,0.104900,0.135700,-0.024100,-1.027600,0.001700
194378004,0.512600,0.069200,0.161100,-0.028500,-1.029800,0.003400
194398181,0.159400,0.007500,0.221300,-0.027800,-1.027900,0.005900
194418012,-0.384100,0.016200,-0.165100,-0.030000,-1.027400,0.004900
194438012,-0.022900,-0.018900,-0.129000,-0.028100,-1.027400,0.003700
194458008,0.309700,0.068800,0.116800,-0.028100,-1.029100,0.002700
194478004,0.299000,0.050800,0.238500,-0.028800,-1.028600,0.004400
194498177,0.297100,0.059200,0.245800,-0.029300,-1.027400,0.005100
194518007,-0.019700,-0.011100,-0.000800,-0.028100,-1.026200,0.006800
194538008,-0.098400,-0.037300,-0.158200,-0.027600,-1.027900,0.003200
194558007,0.077300,-0.019600,-0.043500,-0.026600,-1.027900,0.002000
194578011,0.006800,0.015600,-0.025700,-0.030200,-1.027100,0.003900
194598182,-0.343300,-0.072000,-0.226800,-0.026600,-1.029800,0.005400
194618008,-0.131100,0.077200,-0.067900,-0.027100,-1.027600,0.003200
194638012,0.001000,0.094200,-0.006200,-0.028100,-1.030100,0.003200
194658006,-0.331500,0.023600,-0.093700,-0.031700,-1.024000,0.004900
194678007,-0.303200,0.005900,-0.180600,-0.026300,-1.027600,0.003700
194698178,0.118700,0.058400,-0.030700,-0.027300,-1.031000,0.002400
194718007,0.363000,0.075500,0.135700,-0.026600,-1.029100,0.005900
194738009,0.185700,0.005100,0.047400,-0.029500,-1.027600,0.004600
194758010,-0.191700,0.040000,-0.075400,-0.029800,-1.028100,0.004400
194778010,-0.103000,0.039800,-0.013700,-0.026800,-1.029600,0.003900
194799544,0.238900,0.039500,0.047600,-0.028500,-1.028100,0.002400
194818009,0.263600,-0.013200,0.091100,-0.030000,-1.029100,0.004600
194838007,0.069500,-0.021900,0.081800,-0.026300,-1.023500,0.005100
194858004,-0.106000,0.013200,-0.050000,-0.028500,-1.030100,0.004900
194878004,-0.262800,0.048200,-0.014700,-0.026100,-1.027900,0.001700
194898176,0.036300,0.039100,0.116700,-0.028500,-1.028400,0.004400
