Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
192256014,-23.209600,188.585205,263.285614
192276004,-23.224199,188.746002,263.724091
192297260,-23.881901,188.848297,262.262512
192317012,-23.648100,188.395203,262.934814
192337004,-23.326500,188.848297,262.627899
192357010,-23.428801,188.833694,262.189392
192377007,-23.560400,188.438995,261.940887
192397182,-23.721100,188.658295,262.554810
192417011,-23.575001,188.848297,262.467102
192437008,-23.691900,188.819107,262.525604
192457009,-23.589600,188.629105,262.569397
192477009,-23.604200,188.702103,263.110199
192497179,-23.209600,188.541397,262.496307
192517007,-23.677299,188.819107,262.744812
192537007,-23.691900,188.365997,261.750885
192557008,-23.268000,188.614395,262.364807
192577005,-23.458099,188.409805,262.890991
192597187,-23.662701,188.672897,262.715607
192617007,-23.472700,188.219803,262.832489
192637004,-23.545700,188.658295,262.963989
192657007,-23.560400,188.731400,264.454803
192677005,-23.019600,188.629105,263.709412
192697175,-23.370399,188.614395,263.431702
192717010,-23.575001,188.716797,262.160187
192737005,-23.209600,188.570602,262.949402
192757009,-23.399599,188.716797,262.963989
192777005,-23.414200,188.658295,263.241699
192798539,-23.268000,188.658295,263.314789
192817008,-23.779600,188.731400,263.636414
192837012,-23.604200,188.585205,263.577911
192857012,-23.779600,188.731400,263.241699
192877010,-23.604200,189.301407,263.007904
192897182,-23.691900,189.199097,263.270996
192917007,-23.618799,188.336700,262.949402
192937007,-24.101101,188.862900,263.080994
192957010,-23.487301,188.687500,263.051788
192977011,-23.838100,188.541397,263.168701
192997179,-23.969601,188.278305,263.358704
193017004,-24.159599,188.702103,262.744812
193037008,-23.545700,188.819107,262.978699
193057007,-23.472700,189.038300,263.519409
193077009,-23.691900,188.570602,262.686310
193097178,-23.501900,188.848297,262.452515
193117008,-23.604200,188.629105,262.890991
193137004,-23.779600,188.380600,262.642487
193157012,-23.180401,188.351395,263.563293
193177007,-23.121901,188.731400,263.066406
193197175,-23.370399,188.512100,263.475586
193217008,-23.721100,188.658295,263.051788
193237005,-23.896500,188.365997,263.256287
193257012,-23.706499,188.819107,263.256287
193277008,-23.691900,188.380600,262.773987
193297178,-23.648100,188.205200,262.803314
193318111,-23.852699,188.599792,263.972504
193337004,-23.458099,188.336700,263.431702
193357012,-23.472700,188.643707,263.358704
193377012,-23.633400,188.658295,263.870209
193397176,-23.399599,189.242905,262.905609
193417008,-23.779600,189.199097,263.022491
193437012,-23.750401,188.965195,264.118713
193457007,-23.955000,188.556000,263.680206
193477003,-24.466499,189.608307,263.270996
193497179,-23.867300,188.936005,263.344086
193517004,-24.203400,188.804398,263.431702
193537012,-24.247299,188.585205,263.636414
193557008,-23.618799,188.614395,263.651001
193577009,-24.101101,188.731400,263.767914
193597176,-23.838100,188.789795,263.548615
193617012,-23.355700,188.789795,262.993286
193637004,-23.764999,188.950607,263.066406
193657012,-24.115801,188.672897,263.314789
193677012,-23.355700,188.614395,263.007904
193697176,-23.852699,188.468307,263.256287
193717012,-23.881901,188.526703,263.197906
193737004,-23.852699,188.497498,262.920197
193757007,-23.925800,188.541397,263.285614
193777005,-23.867300,188.512100,263.431702
193798532,-24.203400,188.146698,263.285614
193817467,-23.662701,188.482895,263.329407
193837008,-23.867300,188.263702,263.358704
193857009,-23.516500,188.351395,263.417114
193877007,-23.560400,188.190598,263.431702
193897183,-23.618799,187.796005,263.139404
193917007,-24.130400,188.000595,263.680206
193937007,-23.121901,188.044403,263.607086
193957010,-23.677299,188.468307,263.300201
193977012,-23.940399,188.249100,262.627899
193997177,-24.013399,188.029800,262.481812
194017008,-24.130400,188.175995,262.262512
194037007,-24.174200,188.658295,262.920197
194057009,-23.180401,188.526703,263.285614
194077009,-23.414200,188.921402,263.095612
194097178,-23.311899,188.819107,263.928711
194117007,-23.721100,189.052902,263.139404
194137012,-23.779600,188.526703,262.803314
194157004,-23.662701,188.672897,263.402496
194177007,-23.443399,188.497498,263.563293
194197176,-23.180401,188.585205,263.066406
194217007,-23.764999,188.936005,262.759399
194237008,-23.487301,188.906799,262.949402
194257008,-23.297300,188.877502,262.335602
194277012,-23.341101,188.789795,262.540192
194298259,-23.472700,188.994400,262.788696
194318005,-23.472700,188.746002,262.861694
194338012,-23.896500,188.789795,262.657104
194358004,-24.188801,188.877502,262.905609
194378004,-24.042700,189.038300,262.481812
194398181,-23.662701,188.599792,262.510986
194418012,-24.188801,189.155197,262.423309
194438012,-23.677299,188.672897,262.262512
194458008,-23.443399,188.994400,262.963989
194478004,-23.721100,188.292892,262.788696
194498177,-24.086500,188.643707,262.744812
194518007,-23.925800,188.351395,262.978699
194538008,-23.516500,188.614395,262.394012
194558007,-23.443399,188.819107,261.911713
194578011,-23.531099,188.629105,262.554810
194598182,-23.618799,188.819107,263.417114
194618008,-23.911100,189.082108,263.051788
194638012,-23.823400,189.009094,263.767914
194658006,-23.589600,188.950607,262.949402
194678007,-23.633400,188.351395,262.686310
194698178,-23.575001,188.234406,262.759399
194718007,-24.042700,188.161407,263.183289
194738009,-23.560400,188.819107,263.504791
194758010,-23.969601,188.585205,263.753296
194778010,-24.101101,188.453705,262.481812
194799544,-23.794201,188.921402,262.730194
194818009,-23.633400,188.862900,262.525604
194838007,-23.706499,188.438995,262.642487
194858004,-24.145000,187.985992,263.227112
194878004,-23.633400,188.556000,263.504791
194898176,-23.794201,188.497498,264.045593
194918012,-23.779600,187.985992,263.914093
194938012,-23.604200,188.175995,264.016388
194958005,-23.969601,188.556000,263.344086
194978008,-23.531099,188.395203,263.870209
194998182,-23.911100,188.336700,263.826385
195018014,-24.115801,188.585205,263.197906
195038004,-24.393499,188.804398,263.037109
195058007,-23.955000,188.307495,263.460999
195078009,-23.881901,188.702103,263.709412
195098182,-23.764999,188.249100,263.841003
195118012,-23.940399,188.409805,263.767914
195138008,-23.268000,188.365997,263.680206
195158012,-23.750401,188.468307,264.308685
195178007,-23.385000,188.336700,264.221008
195198179,-23.575001,188.614395,263.329407
195218012,-23.633400,188.263702,263.007904
195238004,-23.677299,188.804398,263.563293
195258007,-23.911100,188.073700,263.665588
195278008,-23.501900,188.219803,263.694794
195298174,-23.355700,188.672897,263.402496
195318008,-23.560400,188.716797,263.241699
195338012,-24.159599,188.658295,263.519409
195358012,-23.662701,188.789795,263.651001
195378012,-24.101101,188.629105,263.285614
195398173,-23.764999,188.146698,263.519409
195418004,-24.028099,188.599792,263.680206
195438009,-24.510401,188.848297,262.759399
195458011,-24.232700,188.775208,262.993286
195478007,-23.998800,188.526703,263.022491
195498188,-24.831900,189.111404,262.817902
195518004,-24.218100,188.336700,262.773987
195538008,-23.297300,188.292892,262.905609
195558007,-23.589600,188.746002,263.037109
195578009,-23.940399,188.438995,262.364807
195598178,-23.779600,188.468307,262.657104
195618010,-23.677299,188.526703,263.402496
195638012,-23.852699,188.775208,263.431702
195658007,-24.115801,188.892105,263.446411
195678008,-24.334999,188.614395,263.387909
195698182,-23.794201,188.979797,263.621796
195718004,-23.955000,188.585205,262.905609
195738012,-24.334999,188.278305,263.080994
195758009,-23.779600,188.117493,263.680206
195778003,-23.940399,188.687500,262.788696
195799538,-24.159599,188.716797,262.496307
195818012,-23.443399,188.424393,262.934814
195838008,-23.706499,188.438995,263.139404
195858010,-23.750401,188.497498,263.709412
195878007,-23.648100,188.438995,263.110199
195898183,-23.750401,188.292892,262.321014
195918012,-23.706499,188.731400,262.379395
195938004,-23.633400,188.775208,262.963989
195958008,-23.955000,188.365997,262.861694
195978011,-24.071899,188.716797,263.446411
195998178,-24.042700,188.789795,262.525604
196018012,-23.896500,188.395203,263.197906
196038004,-24.145000,189.038300,262.700989
196058007,-23.662701,188.833694,263.095612
196078013,-23.867300,188.614395,262.540192
196098186,-23.721100,188.833694,262.832489
196118012,-24.086500,188.877502,263.168701
196138003,-23.706499,188.541397,262.700989
196158004,-23.984200,188.526703,262.627899
196178003,-23.955000,188.804398,262.627899
196198178,-23.750401,188.877502,263.227112
196218006,-23.750401,188.672897,263.417114
196238003,-23.355700,188.380600,263.475586
196258008,-23.458099,188.278305,262.978699
196278004,-23.984200,188.497498,262.423309
196299258,-23.764999,188.599792,262.627899
196319013,-23.969601,188.672897,262.963989
196339009,-23.648100,188.497498,264.074799
196359012,-23.648100,188.629105,262.730194
196379007,-23.969601,188.599792,263.168701
196399179,-23.896500,188.921402,263.154114
196419004,-24.291100,189.111404,262.847107
196439007,-24.393499,188.380600,262.759399
196459013,-23.458099,188.702103,264.323303
196479008,-24.071899,188.702103,263.007904
196499177,-23.940399,187.985992,263.548615
196519007,-23.399599,188.687500,262.569397
196539012,-24.057301,188.307495,263.373291
196559010,-23.180401,188.833694,263.197906
196579006,-23.121901,188.833694,263.037109
196599179,-24.028099,188.482895,263.314789
196619009,-23.911100,188.716797,262.394012
196639007,-23.575001,189.082108,262.613312
196659011,-23.443399,188.921402,263.227112
196679012,-23.151100,188.672897,262.934814
196699383,-24.408100,188.643707,263.811798
196719004,-23.867300,188.438995,263.694794
196739008,-23.940399,188.716797,264.147888
196759012,-23.428801,188.746002,263.636414
196779007,-23.838100,188.512100,263.066406
196800536,-23.414200,188.541397,263.387909
196819010,-23.633400,188.526703,262.949402
196839009,-23.706499,188.570602,262.613312
196859011,-23.633400,188.424393,263.607086
196879012,-23.604200,188.234406,263.300201
196899179,-23.648100,188.833694,263.154114
196919007,-23.940399,188.512100,263.636414
196939004,-23.779600,188.716797,263.300201
196959011,-23.414200,188.424393,263.124786
196979007,-23.618799,188.643707,263.066406
196999182,-23.648100,188.526703,263.329407
197019004,-23.282700,188.658295,263.417114
197039007,-23.107300,188.468307,263.577911
197059008,-23.136499,188.862900,263.402496
197079008,-23.311899,188.322098,262.890991
197099173,-23.721100,188.746002,263.870209
197119012,-23.501900,188.746002,263.417114
197139010,-23.633400,188.906799,262.876312
197159007,-23.136499,189.169800,262.817902
197179007,-23.443399,188.819107,263.475586
197199179,-23.764999,188.804398,263.665588
197219004,-23.589600,188.965195,263.197906
197239008,-23.750401,188.629105,263.621796
197259008,-23.151100,189.067505,264.104095
197279007,-23.399599,188.716797,263.767914
197299178,-23.867300,188.877502,263.460999
197319008,-23.414200,188.804398,262.744812
197339010,-23.633400,188.307495,262.920197
197359007,-23.458099,188.848297,263.241699
197379007,-23.633400,188.819107,263.592499
197399172,-23.575001,188.906799,263.007904
197419007,-23.531099,188.979797,264.104095
197439003,-23.531099,188.804398,263.139404
197459010,-23.677299,188.716797,263.007904
197479007,-23.399599,188.848297,262.525604
197499175,-23.969601,188.175995,262.744812
197519012,-24.042700,188.687500,262.540192
197539012,-23.794201,188.994400,263.256287
197559012,-23.881901,188.526703,263.256287
197579013,-23.677299,188.994400,263.855591
197599175,-23.794201,188.599792,263.300201
197619004,-23.604200,188.702103,263.592499
197639009,-23.779600,188.833694,263.607086
197659004,-23.428801,188.102905,262.613312
197679008,-23.691900,188.146698,263.563293
197699177,-23.823400,188.512100,263.402496
197719004,-23.881901,188.731400,262.773987
197739009,-23.004999,188.804398,263.402496
197759005,-23.121901,188.365997,263.767914
197779006,-23.034201,188.190598,263.402496
197800546,-23.560400,188.175995,262.773987
197819009,-23.764999,188.672897,262.978699
197839004,-23.691900,188.482895,262.905609
197859011,-23.633400,188.322098,262.657104
197879007,-23.589600,188.322098,262.613312
197899179,-23.969601,188.088303,263.300201
197919006,-23.764999,188.760605,262.423309
197939004,-23.180401,188.921402,263.709412
197959009,-23.852699,189.082108,263.651001
197979004,-23.648100,188.833694,263.694794
197999181,-23.750401,188.249100,263.680206
198019007,-23.794201,188.716797,263.417114
198039005,-23.531099,188.716797,263.899414
198059009,-23.633400,188.848297,262.905609
198079013,-23.370399,188.395203,263.110199
198099179,-23.063400,188.263702,263.022491
198119008,-23.881901,188.731400,263.475586
198139007,-23.648100,187.985992,263.110199
198159010,-23.077999,188.482895,262.715607
198179007,-23.867300,188.862900,263.066406
198199178,-23.852699,188.512100,263.373291
198219007,-23.136499,188.848297,263.300201
198239012,-23.443399,188.599792,263.431702
198259012,-23.750401,188.424393,263.709412
198279010,-23.458099,188.482895,264.206390
198300259,-23.706499,188.161407,263.080994
198320011,-23.487301,188.585205,263.197906
198340004,-23.794201,188.687500,262.861694
198360012,-23.706499,188.351395,263.270996
198380006,-23.545700,188.146698,263.490204
198400187,-23.516500,188.395203,263.417114
198420012,-23.764999,188.599792,263.227112
198440007,-23.209600,188.351395,263.928711
198460013,-23.428801,188.292892,263.329407
198480007,-23.998800,188.117493,263.870209
198500178,-23.706499,188.336700,264.089386
198520010,-23.560400,187.942093,263.022491
198540008,-23.706499,187.927505,263.475586
198560004,-23.575001,188.073700,263.300201
198580009,-23.925800,188.395203,263.022491
198600176,-23.253401,188.629105,263.270996
198620008,-23.867300,188.088303,262.744812
198640010,-23.881901,188.453705,263.402496
198660008,-23.648100,188.672897,263.621796
198680007,-23.808800,188.409805,263.227112
198700181,-24.013399,188.556000,263.051788
198720004,-24.174200,188.234406,263.651001
198740010,-24.042700,188.482895,263.037109
198760012,-24.101101,188.409805,263.183289
198780012,-23.881901,187.985992,263.475586
198801535,-23.911100,188.307495,264.060211
198820008,-23.998800,188.015198,263.417114
198840011,-23.735800,188.132095,263.811798
198860008,-23.589600,188.292892,263.314789
198880007,-23.940399,188.322098,263.431702
198900183,-24.145000,188.497498,263.227112
198920004,-23.794201,188.380600,263.490204
198940007,-23.984200,188.585205,263.724091
198960009,-23.648100,188.351395,263.183289
198980008,-24.101101,188.512100,262.700989
199000182,-23.735800,188.249100,262.934814
199020007,-23.925800,188.453705,263.563293
199040004,-23.852699,188.102905,263.256287
199060007,-23.443399,188.219803,263.256287
199080005,-23.808800,187.825195,262.949402
199100175,-23.925800,187.942093,263.446411
199120009,-23.662701,188.468307,263.680206
199140008,-23.443399,188.219803,263.314789
199160007,-23.531099,188.672897,263.387909
199180012,-23.648100,188.190598,263.402496
199200174,-23.881901,188.351395,263.431702
199220007,-23.896500,188.438995,263.329407
199240012,-23.501900,188.117493,262.832489
199260008,-23.180401,188.526703,263.314789
199280012,-23.721100,188.234406,263.124786
199300179,-24.232700,188.015198,262.934814
199320011,-23.662701,188.526703,263.124786
199340012,-24.013399,188.629105,263.285614
199360007,-24.188801,188.672897,263.124786
199380008,-23.794201,188.468307,263.300201
199400183,-24.086500,188.570602,262.905609
199420012,-23.779600,188.351395,263.007904
199440007,-23.911100,188.336700,262.803314
199460009,-23.648100,188.205200,262.101715
199480006,-23.750401,188.687500,262.788696
199500179,-24.057301,188.249100,262.847107
199520012,-24.261900,188.512100,262.510986
199540007,-23.998800,188.190598,262.423309
199560008,-24.378799,188.438995,262.949402
199580005,-24.071899,188.497498,262.993286
199600183,-23.195000,188.599792,261.721710
199620012,-23.940399,188.702103,262.321014
199640007,-23.721100,188.731400,262.554810
199660012,-23.516500,188.161407,262.627899
199680004,-23.297300,188.015198,262.642487
199700183,-23.838100,188.205200,262.715607
199720010,-23.969601,188.497498,263.987091
199740007,-23.911100,188.526703,262.423309
199760003,-23.589600,188.833694,262.233185
199780007,-23.224199,188.585205,262.247894
199801535,-23.764999,188.395203,262.905609
199820008,-23.911100,188.629105,262.423309
199840009,-23.487301,188.570602,263.943298
199860012,-23.925800,188.000595,263.358704
199880007,-23.706499,187.912903,262.730194
199900179,-23.925800,187.985992,263.197906
199920004,-23.911100,187.869003,263.051788
199940012,-23.896500,188.044403,262.817902
199960011,-23.808800,188.146698,263.007904
199980004,-23.750401,188.380600,263.066406
