Timestamp (us),W Element,X Element,Y Element,Z Element
192256014,0.480100,-0.465000,0.531600,-0.520500
192276004,0.480100,-0.465000,0.531600,-0.520400
192297260,0.480100,-0.465000,0.531600,-0.520500
192317012,0.480100,-0.465000,0.531700,-0.520400
192337004,0.480100,-0.465000,0.531700,-0.520400
192357010,0.480100,-0.465000,0.531600,-0.520400
192377007,0.480100,-0.465000,0.531600,-0.520400
192397182,0.480100,-0.465000,0.531600,-0.520500
192417011,0.480100,-0.465000,0.531700,-0.520500
192437008,0.480100,-0.465000,0.531700,-0.520500
192457009,0.480100,-0.465000,0.531700,-0.520400
192477009,0.480100,-0.465000,0.531700,-0.520500
192497179,0.480100,-0.465000,0.531700,-0.520500
192517007,0.480100,-0.465000,0.531700,-0.520400
192537007,0.480100,-0.465000,0.531700,-0.520400
192557008,0.480100,-0.465000,0.531700,-0.520400
192577005,0.480100,-0.465000,0.531700,-0.520500
192597187,0.480100,-0.465000,0.531700,-0.520500
192617007,0.480100,-0.465000,0.531700,-0.520500
192637004,0.480100,-0.465000,0.531700,-0.520500
192657007,0.480100,-0.464900,0.531700,-0.520500
192677005,0.480100,-0.464900,0.531700,-0.520500
192697175,0.480100,-0.464900,0.531600,-0.520500
192717010,0.480100,-0.464900,0.531600,-0.520500
192737005,0.480100,-0.464900,0.531600,-0.520500
192757009,0.480200,-0.464900,0.531600,-0.520500
192777005,0.480200,-0.464800,0.531600,-0.520500
192798539,0.480200,-0.464900,0.531600,-0.520500
192817008,0.480200,-0.464900,0.531600,-0.520500
192837012,0.480200,-0.464900,0.531600,-0.520500
192857012,0.480200,-0.464800,0.531600,-0.520500
192877010,0.480300,-0.464800,0.531600,-0.520600
192897182,0.480200,-0.464800,0.531600,-0.520500
192917007,0.480200,-0.464800,0.531600,-0.520500
192937007,0.480200,-0.464800,0.531600,-0.520500
192957010,0.480300,-0.464800,0.531600,-0.520600
192977011,0.480300,-0.464700,0.531600,-0.520600
192997179,0.480200,-0.464800,0.531600,-0.520600
193017004,0.480200,-0.464800,0.531600,-0.520600
193037008,0.480200,-0.464800,0.531700,-0.520600
193057007,0.480200,-0.464800,0.531600,-0.520600
193077009,0.480200,-0.464800,0.531600,-0.520600
193097178,0.480100,-0.464800,0.531600,-0.520600
193117008,0.480100,-0.464900,0.531700,-0.520600
193137004,0.480100,-0.464800,0.531700,-0.520600
193157012,0.480200,-0.464800,0.531600,-0.520600
193177007,0.480200,-0.464800,0.531600,-0.520600
193197175,0.480100,-0.464900,0.531600,-0.520500
193217008,0.480100,-0.464900,0.531700,-0.520500
193237005,0.480200,-0.464800,0.531700,-0.520500
193257012,0.480200,-0.464800,0.531600,-0.520600
193277008,0.480200,-0.464800,0.531600,-0.520500
193297178,0.480200,-0.464800,0.531700,-0.520500
193318111,0.480200,-0.464800,0.531600,-0.520500
193337004,0.480200,-0.464800,0.531700,-0.520500
193357012,0.480200,-0.464800,0.531700,-0.520500
193377012,0.480200,-0.464800,0.531700,-0.520500
193397176,0.480200,-0.464800,0.531700,-0.520500
193417008,0.480200,-0.464800,0.531700,-0.520500
193437012,0.480200,-0.464800,0.531700,-0.520500
193457007,0.480200,-0.464800,0.531700,-0.520500
193477003,0.480200,-0.464800,0.531700,-0.520500
193497179,0.480200,-0.464800,0.531700,-0.520600
193517004,0.480200,-0.464800,0.531700,-0.520500
193537012,0.480200,-0.464700,0.531700,-0.520600
193557008,0.480200,-0.464800,0.531700,-0.520500
193577009,0.480100,-0.464800,0.531700,-0.520500
193597176,0.480100,-0.464800,0.531700,-0.520500
193617012,0.480200,-0.464700,0.531700,-0.520500
193637004,0.480200,-0.464700,0.531700,-0.520500
193657012,0.480100,-0.464700,0.531700,-0.520600
193677012,0.480100,-0.464800,0.531700,-0.520500
193697176,0.480200,-0.464800,0.531700,-0.520500
193717012,0.480200,-0.464800,0.531700,-0.520500
193737004,0.480200,-0.464800,0.531700,-0.520500
193757007,0.480200,-0.464800,0.531700,-0.520500
193777005,0.480200,-0.464800,0.531700,-0.520500
193798532,0.480200,-0.464800,0.531700,-0.520500
193817467,0.480200,-0.464800,0.531700,-0.520500
193837008,0.480200,-0.464900,0.531700,-0.520500
193857009,0.480200,-0.464900,0.531700,-0.520500
193877007,0.480200,-0.464900,0.531700,-0.520500
193897183,0.480200,-0.464900,0.531700,-0.520400
193917007,0.480200,-0.464900,0.531600,-0.520500
193937007,0.480200,-0.464900,0.531600,-0.520400
193957010,0.480300,-0.464900,0.531600,-0.520400
193977012,0.480300,-0.465000,0.531600,-0.520400
193997177,0.480300,-0.464900,0.531500,-0.520400
194017008,0.480400,-0.464900,0.531500,-0.520400
194037007,0.480400,-0.464900,0.531500,-0.520400
194057009,0.480400,-0.464900,0.531500,-0.520400
194077009,0.480400,-0.464900,0.531500,-0.520400
194097178,0.480400,-0.464900,0.531500,-0.520400
