Timestamp (us),Roll (deg),Pitch (deg),Yaw (deg)
272087011,-1.217900,-0.576800,-84.446701
272156374,-1.222500,-0.579700,-84.452797
272176024,-1.223500,-0.581700,-84.454697
272196018,-1.224700,-0.580200,-84.455704
272216016,-1.224800,-0.578300,-84.455704
272236012,-1.224000,-0.578500,-84.456100
272256195,-1.224300,-0.581500,-84.456596
272276197,-1.226000,-0.580800,-84.456299
272296023,-1.227000,-0.580200,-84.458000
272365411,-1.225700,-0.578600,-84.459503
272383018,-1.227000,-0.578900,-84.459801
272403010,-1.226400,-0.580200,-84.460503
272423029,-1.227900,-0.580800,-84.459198
272443025,-1.227500,-0.580400,-84.458099
272463735,-1.227400,-0.579100,-84.457603
272483029,-1.228100,-0.578100,-84.455803
272503034,-1.227500,-0.576800,-84.454300
272523035,-1.227800,-0.577400,-84.455002
272543014,-1.229700,-0.575200,-84.455002
272563199,-1.229700,-0.574700,-84.454697
272583029,-1.230400,-0.573900,-84.455299
272603023,-1.228600,-0.574800,-84.457199
272649928,-1.228000,-0.572600,-84.460701
272669025,-1.226800,-0.572700,-84.460602
272719600,-1.230600,-0.567200,-84.457603
272789969,-1.233700,-0.571700,-84.458397
272809009,-1.234400,-0.572100,-84.457901
272829025,-1.233700,-0.571900,-84.460098
272849019,-1.232300,-0.571600,-84.458900
272869028,-1.233600,-0.572700,-84.459999
272889190,-1.231600,-0.573900,-84.460701
272909010,-1.232200,-0.572900,-84.459801
272929007,-1.231400,-0.571800,-84.460800
272949008,-1.230500,-0.571400,-84.460503
272969020,-1.230100,-0.570900,-84.457901
272989188,-1.230000,-0.570700,-84.459198
273009012,-1.229900,-0.570600,-84.458702
273029034,-1.230500,-0.569900,-84.457703
273049023,-1.228900,-0.571500,-84.457100
273082156,-1.227900,-0.569800,-84.456299
273152427,-1.225200,-0.568200,-84.452301
273172034,-1.225400,-0.568500,-84.452499
273192028,-1.225600,-0.568400,-84.452301
273212027,-1.226800,-0.569700,-84.450600
273232014,-1.227100,-0.572200,-84.450401
273252194,-1.227700,-0.571700,-84.448402
273272027,-1.229300,-0.573900,-84.448997
273292013,-1.229000,-0.574600,-84.448196
273363620,-1.231400,-0.572400,-84.448097
273381020,-1.231000,-0.574000,-84.448303
273401036,-1.230800,-0.572700,-84.447502
273421024,-1.229000,-0.573300,-84.447899
273441018,-1.227700,-0.574100,-84.447701
273461753,-1.226400,-0.572900,-84.446899
273481030,-1.226800,-0.572100,-84.445396
273501250,-1.227300,-0.573500,-84.445602
273521009,-1.227600,-0.572900,-84.446404
273541031,-1.228400,-0.573500,-84.446800
273561197,-1.228300,-0.575100,-84.446098
273581028,-1.228800,-0.576400,-84.446602
273601031,-1.228300,-0.575700,-84.447304
273648128,-1.227400,-0.575000,-84.445900
273668018,-1.227000,-0.575100,-84.445503
273719647,-1.226500,-0.576300,-84.446999
273789759,-1.225600,-0.577600,-84.451797
273809026,-1.224600,-0.576800,-84.452797
273833788,-1.225200,-0.576500,-84.453903
273853019,-1.224900,-0.576000,-84.454903
273873035,-1.223900,-0.574300,-84.456802
273893034,-1.225100,-0.575200,-84.456902
273913032,-1.226600,-0.575200,-84.454697
273933017,-1.227100,-0.575000,-84.453903
273953035,-1.227500,-0.575200,-84.453697
273973017,-1.227300,-0.575000,-84.452599
273993034,-1.227900,-0.576100,-84.452797
274013029,-1.227500,-0.577500,-84.451698
274033035,-1.227500,-0.578700,-84.450302
274053019,-1.225400,-0.577400,-84.449501
274119010,-1.226200,-0.582400,-84.447098
274138030,-1.225100,-0.582300,-84.446098
274186704,-1.223500,-0.582900,-84.442398
274206010,-1.222900,-0.583700,-84.440399
274226034,-1.223700,-0.583800,-84.441704
