Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
272156374,-0.022400,-0.046000,-0.031900,0.010000,-0.022900,1.007900
272176024,-0.013500,-0.002000,-0.005400,0.013700,-0.022900,1.009600
272196018,-0.022200,-0.010700,0.029600,0.007300,-0.022900,1.009800
272216016,0.021700,0.050600,0.003200,0.008500,-0.022400,1.010100
272236012,0.021600,-0.011000,0.020600,0.010200,-0.021000,1.008600
272256195,0.038900,-0.019700,0.003000,0.014600,-0.023400,1.010300
272276197,-0.022600,0.050400,-0.014500,0.010700,-0.023700,1.008100
272296023,-0.057400,-0.011100,-0.075700,0.008800,-0.021500,1.011000
272365411,0.021700,0.024000,-0.022700,0.010200,-0.021700,1.009100
272383018,-0.013500,0.006300,-0.005000,0.011000,-0.023700,1.009300
272403010,0.004100,0.041300,-0.022500,0.013900,-0.020700,1.009800
272423029,0.004100,0.041000,0.047600,0.012700,-0.024400,1.008600
272443025,-0.013400,0.023200,0.056100,0.010500,-0.020500,1.010800
272463735,0.004200,0.023100,-0.023000,0.008800,-0.021700,1.011500
272483029,-0.039600,-0.003300,0.047100,0.008300,-0.021500,1.009300
272503034,-0.013100,0.049200,0.064300,0.009800,-0.020000,1.012300
272523035,-0.021800,0.013900,0.028900,0.011700,-0.021500,1.010300
272543014,-0.030400,0.031300,-0.006300,0.007300,-0.023900,1.010100
272563199,-0.021500,-0.021400,0.002500,0.008500,-0.021000,1.009600
272583029,0.004900,0.013800,-0.050000,0.009300,-0.023200,1.012700
272603023,0.022400,-0.030100,-0.049700,0.010500,-0.019300,1.009300
272649928,0.022300,-0.012400,-0.031900,0.008000,-0.022000,1.009100
272669025,0.057100,-0.021100,0.003300,0.009500,-0.021500,1.012300
272719600,0.030500,0.057800,0.003300,0.008300,-0.025400,1.010500
272789969,-0.057200,0.013700,-0.022900,0.012700,-0.021200,1.008600
272809009,0.004400,-0.030100,-0.005300,0.009800,-0.023200,1.010500
272829025,0.048100,0.031300,-0.014000,0.011000,-0.022200,1.009300
272849019,0.039100,-0.012600,-0.005200,0.009000,-0.020700,1.011000
272869028,-0.039900,-0.021300,0.003600,0.011200,-0.022400,1.009800
272889190,0.056600,-0.012400,0.003600,0.011700,-0.020200,1.010500
272909010,-0.040000,0.022700,0.056100,0.009300,-0.021500,1.009800
272929007,0.012700,0.031300,-0.040500,0.009300,-0.020700,1.010100
272949008,0.030200,0.039800,-0.014000,0.010700,-0.021200,1.010800
272969020,-0.005000,-0.012900,0.021000,0.008800,-0.020700,1.011300
272989188,-0.005000,0.013400,-0.005300,0.010200,-0.021500,1.011800
273009012,-0.022500,0.030800,0.012200,0.011000,-0.020700,1.010300
273029034,-0.013600,-0.013100,0.055900,0.008300,-0.022200,1.010100
273049023,0.004000,-0.021800,0.003000,0.012200,-0.019000,1.011000
273082156,0.065200,-0.004200,0.011700,0.008000,-0.022900,1.011000
273152427,0.012300,0.013400,0.020400,0.009800,-0.020700,1.012300
273172034,-0.014000,0.004500,-0.006000,0.010700,-0.021500,1.012000
273192028,-0.022700,-0.004200,0.020300,0.009800,-0.021200,1.011300
273212027,-0.031300,-0.004200,0.029000,0.012200,-0.022700,1.010500
273232014,0.003900,-0.056700,-0.032500,0.012400,-0.022200,1.006900
273252194,-0.013600,0.013700,0.064000,0.009800,-0.022200,1.010500
273272027,-0.013500,0.013600,0.019800,0.014400,-0.023900,1.010300
273292013,-0.004700,-0.039000,0.037200,0.010000,-0.021000,1.010500
273363620,-0.039600,0.040000,0.019500,0.010500,-0.021500,1.011300
273381020,0.021900,-0.004000,0.036800,0.013200,-0.021700,1.009300
273401036,0.004200,0.013500,0.010400,0.008300,-0.021500,1.011300
273421024,0.021700,0.004700,-0.033500,0.011200,-0.019300,1.007100
273441018,0.012800,-0.004100,0.054300,0.011500,-0.019800,1.009300
273461753,0.012700,0.048400,0.010200,0.009800,-0.020000,1.012300
273481030,0.012600,0.013100,0.018900,0.009300,-0.022700,1.011500
273501250,0.003800,-0.030700,0.018700,0.011500,-0.022700,1.011000
273521009,-0.005000,0.039500,-0.025100,0.010200,-0.022000,1.010100
273541031,0.021300,0.004200,0.010000,0.011500,-0.023900,1.009300
273561197,0.038700,0.004200,0.001200,0.012900,-0.022700,1.007600
273581028,0.012200,-0.048300,-0.042500,0.010700,-0.022900,1.007100
273601031,0.003400,-0.021800,-0.024800,0.008000,-0.021000,1.010500
273648128,-0.014200,-0.004100,0.019100,0.009500,-0.020500,1.011500
273668018,0.003400,-0.021600,0.010300,0.009500,-0.021000,1.011800
273719647,0.012200,-0.012700,-0.024800,0.010500,-0.021700,1.008600
273789759,-0.031700,0.039900,0.001600,0.012200,-0.020000,1.008800
273809026,0.038500,0.030900,0.019100,0.009800,-0.021200,1.007900
273833788,0.029500,0.013200,-0.059800,0.010200,-0.023400,1.009600
273853019,0.020600,0.021800,-0.015700,0.010000,-0.021700,1.007600
273873035,0.029200,0.039200,-0.041800,0.008500,-0.021000,1.009800
273893034,0.011500,0.012700,0.011000,0.012000,-0.023900,1.006600
273913032,-0.014800,-0.031100,0.063400,0.009300,-0.023700,1.011500
273933017,-0.023400,-0.013400,0.010500,0.009300,-0.021700,1.006600
273953035,0.011700,0.030400,-0.033300,0.011500,-0.022700,1.008400
273973017,-0.014600,-0.004800,0.001900,0.009500,-0.020700,1.010300
273993034,0.020500,-0.013500,-0.033100,0.011700,-0.023400,1.009100
274013029,0.002900,0.004100,0.045800,0.012700,-0.021000,1.008800
274033035,0.029100,-0.013400,0.054300,0.012000,-0.022700,1.011300
274053019,0.063900,0.030400,0.010200,0.009000,-0.020200,1.011000
274119010,0.054800,0.030200,0.036400,0.013900,-0.023900,1.008600
274138030,0.045700,-0.022500,0.027400,0.009300,-0.021200,1.010300
274186704,0.010400,-0.004900,0.001000,0.010500,-0.020700,1.008100
274206010,-0.015900,0.012700,0.062200,0.012200,-0.019800,1.007600
274226034,-0.033300,-0.004900,-0.025700,0.010200,-0.022000,1.011000
274246028,0.019400,0.030100,-0.104300,0.009000,-0.019500,1.009100
274266027,-0.103300,-0.022600,0.018900,0.009300,-0.022200,1.007900
274286034,0.019900,0.012600,0.062500,0.008000,-0.024100,1.007900
274306029,0.037300,0.021300,0.044600,0.010500,-0.022200,1.010500
274327826,0.019500,-0.040100,-0.051900,0.009000,-0.021200,1.011500
274399755,0.001900,0.030100,-0.034100,0.009000,-0.024100,1.010300
274419028,-0.041900,0.003700,0.036200,0.012000,-0.021700,1.009100
274439018,-0.015300,-0.005100,0.000900,0.009500,-0.021700,1.007600
274459025,0.037300,-0.022600,-0.016600,0.009000,-0.021500,1.011500
274479023,0.002000,0.038800,0.018500,0.007800,-0.018800,1.009600
274499022,-0.006700,-0.022700,0.018400,0.009000,-0.020500,1.010100
274519011,0.002100,-0.022500,0.018300,0.007600,-0.024100,1.011300
274539022,0.002000,0.003900,-0.034300,0.009500,-0.020700,1.009300
274559033,0.002000,-0.031200,-0.007900,0.008300,-0.021200,1.010300
274579032,-0.006700,-0.022200,0.000900,0.009300,-0.022700,1.010100
