Timestamp (us),X Axis (a.u.),Y Axis (a.u.),Z Axis (a.u.)
272156374,20.812599,185.939804,252.572296
272176024,20.520300,185.574402,252.177704
272196018,20.637199,185.910599,252.323898
272216016,21.104900,185.442902,252.192307
272236012,20.871099,185.793594,251.373901
272256195,20.973400,185.852097,252.060806
272276197,21.324200,185.501297,252.543106
272296023,21.090300,185.618195,252.645401
272365411,21.207199,186.144394,252.762299
272383018,21.046499,185.735199,252.499298
272403010,21.061100,185.735199,252.689301
272423029,21.294901,186.012894,252.397003
272443025,21.119600,185.399002,252.323898
272463735,21.514200,186.115204,252.966995
272483029,21.441099,185.589005,252.879303
272503034,21.236500,185.939804,251.943893
272523035,20.754200,186.012894,252.426193
272543014,21.207199,185.808197,253.419998
272563199,21.236500,185.676697,252.996201
272583029,21.236500,185.559799,252.601593
272603023,20.871099,186.100601,252.820801
272649928,20.856501,185.881302,252.791595
272669025,21.090300,185.486694,253.215393
272719600,21.499599,185.793594,252.981598
272789969,21.177999,185.632904,253.040100
272809009,21.353399,185.998199,253.332397
272829025,20.505699,185.779007,254.048492
272849019,21.543400,185.632904,253.770798
272869028,20.739500,185.662094,253.624695
272889190,20.871099,185.808197,253.566193
272909010,21.090300,185.895905,253.580795
272929007,21.061100,185.735199,253.347000
272949008,21.309601,185.866699,253.113098
272969020,21.879601,185.793594,253.537003
272989188,20.754200,186.217499,253.083893
273009012,21.177999,185.472107,253.317703
273029034,21.061100,185.618195,252.747696
273049023,21.324200,185.939804,252.587006
273082156,21.207199,185.852097,252.806198
273152427,21.397301,185.983597,252.850098
273172034,21.090300,185.939804,252.791595
273192028,21.075701,185.793594,252.543106
273212027,21.470301,185.501297,252.323898
273232014,21.397301,185.852097,252.703903
273252194,21.382601,185.662094,253.639297
273272027,20.827200,185.472107,253.800095
273292013,21.134199,185.647507,253.463898
273363620,21.075701,185.939804,253.259293
273381020,20.885700,186.012894,254.106995
273401036,21.397301,185.983597,253.098495
273421024,21.251101,185.808197,253.215393
273441018,20.871099,185.779007,253.142395
273461753,21.338800,185.296707,252.747696
273481030,21.543400,185.501297,253.186203
273501250,20.958799,185.852097,252.630798
273521009,21.090300,185.735199,252.879303
273541031,20.944201,185.720596,252.660004
273561197,21.411900,186.027496,252.733093
273581028,21.294901,185.954407,253.142395
273601031,21.134199,186.115204,252.192307
273648128,21.294901,186.334396,252.250793
273668018,21.309601,186.158997,253.434692
273719647,21.134199,185.691299,252.966995
273789759,20.754200,186.129807,252.791595
273809026,20.651899,185.355194,252.440796
