Timestamp,GPSYear,GPSMonth,GPSday,GPSHour,GPSMinute,GPSSecond,GPSHundredth,voltage,GPSFix,numSats,HDOP,Latitude,Longitude,GPSSpeed,GPSCourse,sysCal,gyroCal,accelCal,magCal,rawAccelX,rawAccelY,rawAccelZ,accelX,accelY,accelZ,rawGyroX,rawGyroY,rawGyroZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,magX,magY,magZ,roll,pitch,yaw,linAccelX,linAccelY,linAccelZ,quatW,quatX,quatY,quatZ,imuTemp,state
1969-12-31T19:36:13,0,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.10289137810468674,0.07417750358581543,9.851250648498535,1.0917099714279175,0.045909713953733444,9.861679077148438,-0.017500000074505806,-0.6037499904632568,-0.49000000953674316,-0.11978856474161148,-0.5556051731109619,-0.5556051731109619,0.0,0.0,0.0,0.0,0.0,0.0,0.3072550892829895,1.034145712852478,244.60000610351562,1.2687642574310303,-0.006688923109322786,0.05346035212278366,0.8452315330505371,-0.0025559822097420692,0.009060770273208618,0.5343092679977417,0.0,1
1969-12-31T19:36:13.011000,11,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.1746760606765747,0.02153540402650833,9.956535339355469,0.8624973297119141,0.04149802774190903,9.8788480758667,-0.14000000059604645,-0.6037499904632568,-0.5249999761581421,-0.12171117216348648,-0.5567613244056702,-0.5567613244056702,0.0,0.0,0.0,0.0,0.0,0.0,0.3067992925643921,1.0043953657150269,244.59664916992188,1.0344586372375488,-0.011023069731891155,0.07053884118795395,0.8452487587928772,-0.0024203548673540354,0.008839281275868416,0.5342862606048584,0.0,1
1969-12-31T19:36:13.022000,22,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,6.283552169799805,0.0526420958340168,9.987641334533691,1.8436944484710693,0.043515074998140335,9.898539543151855,0.008750000037252903,-0.6650000214576721,-0.4987499713897705,-0.10930106788873672,-0.5600721836090088,-0.5600721836090088,0.0,0.0,0.0,0.0,0.0,0.0,0.3064690828323364,0.9472215175628662,244.59326171875,2.0058679580688477,-0.008950391784310341,0.09006312489509583,0.8452674150466919,-0.002155944937840104,0.008416088297963142,0.5342647433280945,0.0,1
1969-12-31T19:36:13.033000,33,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,4.914857387542725,0.05742774158716202,9.903892517089844,2.399567127227783,0.046033233404159546,9.899508476257324,-0.3412500023841858,-0.6737499833106995,-0.21875,-0.13136518001556396,-0.5450663566589355,-0.5450663566589355,0.0,0.0,0.0,0.0,0.0,0.0,0.3061087429523468,0.8753212690353394,244.58995056152344,2.549431562423706,-0.006371588911861181,0.09083598852157593,0.8452861309051514,-0.0018231254070997238,0.007884107530117035,0.5342444777488708,0.0,1
1969-12-31T19:36:13.044000,44,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-1.7994027137756348,0.04307080805301666,9.719645500183105,1.6395642757415771,0.04549704119563103,9.86695384979248,-0.3062500059604645,-0.9362499713897705,-0.2800000011920929,-0.1480010747909546,-0.5533797144889832,-0.5533797144889832,0.0,0.0,0.0,0.0,0.0,0.0,0.30565571784973145,0.8241101503372192,244.58660888671875,1.7806615829467773,-0.006830913480371237,0.05815088376402855,0.8453038930892944,-0.0015874762320891023,0.0075042881071567535,0.5342226028442383,0.0,1
1969-12-31T19:36:13.055000,55,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-5.898308277130127,0.10767702758312225,9.858429908752441,0.27522850036621094,0.05675145983695984,9.865410804748535,-0.24500000476837158,-0.9099999666213989,-0.3149999976158142,-0.15722808241844177,-0.5611738562583923,-0.5611738562583923,0.0,0.0,0.0,0.0,0.0,0.0,0.3054843544960022,0.8120046257972717,244.58322143554688,0.414253294467926,0.004452686291188002,0.05657803267240524,0.8453201651573181,-0.0015320819802582264,0.007414237596094608,0.5341982841491699,0.0,1
1969-12-31T19:36:13.066000,66,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-5.072783946990967,0.04785645380616188,9.970891952514648,-0.6927481889724731,0.05514148622751236,9.884502410888672,-0.17499999701976776,-0.7699999809265137,-0.4724999964237213,-0.15891863405704498,-0.5690940022468567,-0.5690940022468567,0.0,0.0,0.0,0.0,0.0,0.0,0.30525481700897217,0.8279660940170288,244.57980346679688,-0.5509908199310303,0.002882210537791252,0.07570908963680267,0.8453354239463806,-0.001607963815331459,0.007530958857387304,0.5341721773147583,0.0,1
1969-12-31T19:36:13.077000,77,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.2799602746963501,0.04307080805301666,9.889535903930664,-0.6180346012115479,0.052956722676754,9.88541316986084,-0.07000000029802322,-0.6737499833106995,-0.45499998331069946,-0.15046025812625885,-0.5684718489646912,-0.5684718489646912,0.0,0.0,0.0,0.0,0.0,0.0,0.30500471591949463,0.8417173624038696,244.57638549804688,-0.4739230275154114,0.0007404541247524321,0.07665244489908218,0.8453509211540222,-0.0016736871330067515,0.007631282322108746,0.5341463088989258,0.0,1
1969-12-31T19:36:13.088000,88,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.1986043006181717,0.07896315306425095,9.899106979370117,-0.5421187877655029,0.057663820683956146,9.88789176940918,-0.10499999672174454,-0.7087500095367432,-0.4987499713897705,-0.1461358517408371,-0.5731227397918701,-0.5731227397918701,0.0,0.0,0.0,0.0,0.0,0.0,0.3049122393131256,0.8531993627548218,244.57293701171875,-0.39604148268699646,0.005463527049869299,0.07916124910116196,0.845366358757019,-0.0017276625148952007,0.00771560613065958,0.5341202616691589,0.0,1
1969-12-31T19:36:13.099000,99,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.20817558467388153,0.0813559740781784,9.903892517089844,-0.481675922870636,0.06195203959941864,9.890788078308105,-0.09624999761581421,-0.6299999952316284,-0.49000000953674316,-0.14139047265052795,-0.5713927149772644,-0.5713927149772644,0.0,0.0,0.0,0.0,0.0,0.0,0.30496761202812195,0.8628981113433838,244.56951904296875,-0.33393824100494385,0.00974240805953741,0.08208146691322327,0.845382034778595,-0.001772230607457459,0.007787465117871761,0.5340944528579712,0.0,1
